Quelle 	 Schlüsselwort 	 Portfolioelement 	 Ziel 	 Portfolioelement 
LoB Ins: 	 	 Application Management     	 One Adesso: 	 Hosting & Application Management
LoB Ins: 	 	 Application Management     	 One Adesso: 	 Application Management   
LoB Ins: 	 	 BiPRO                      	 One Adesso: 	 BiPRO                    
LoB Ins: 	 	 Blockchain                 	 One Adesso: 	 Blockchain               
LoB Ins: 	 	 Change Management          	 One Adesso: 	 Change Management & Veränderungsfähigkeit
LoB Ins: 	 	 Chatbot                    	 One Adesso: 	 Chatbots                 
LoB Ins: 	 	 Design Thinking            	 One Adesso: 	 Design Thinking          
LoB Ins: 	 	 DevOps                     	 One Adesso: 	 DevOps                   
LoB Ins: 	 	 Firmenkundenportale        	 One Adesso: 	 Firmenkundenportale      
LoB Ins: 	 	 in|sure                    	 One Adesso: 	 in|sure                  
LoB Ins: 	 	 Interaction Room           	 One Adesso: 	 Interaction Room (IR)    
LoB Ins: 	 	 IT-Providermanagement      	 One Adesso: 	 IT-Prozesse und IT-Providermanagement
LoB Ins: 	 	 Java                       	 One Adesso: 	 Java                     
LoB Ins: 	 	 MIGSuite                   	 One Adesso: 	 MIGSuite                 
LoB Ins: 	 	 PBM                        	 One Adesso: 	 PBM - Personal Business Machine
LoB Ins: 	 	 Security Management        	 One Adesso: 	 Service & Security Management
One Adesso: 	 	 Firmenkundenportale        	 LoB Insurance: 	 Firmenkundenportale      
One Adesso: 	 	 Insurance                  	 LoB Insurance: 	 Insurance Distribution Directive
One Adesso: 	 	 BiPRO                      	 LoB Insurance: 	 BiPRO                    
One Adesso: 	 	 Marketing                  	 LoB Insurance: 	 Predictive Marketing     
One Adesso: 	 	 Agile                      	 LoB Insurance: 	 Agile Onboarding         
One Adesso: 	 	 Agile                      	 LoB Insurance: 	 Agile Portfolio          
One Adesso: 	 	 Agile                      	 LoB Insurance: 	 Agiles Business Development
One Adesso: 	 	 Agile                      	 LoB Insurance: 	 Agiles Projektmanagement 
One Adesso: 	 	 Design Thinking            	 LoB Insurance: 	 Design Thinking          
One Adesso: 	 	 Application Management     	 LoB Insurance: 	 Application Management   
One Adesso: 	 	 DevOps                     	 LoB Insurance: 	 DevOps                   
One Adesso: 	 	 DevOps                     	 LoB Insurance: 	 DevOps: Softwareentwicklung und IT-Betrieb gehören zusammen
One Adesso: 	 	 Projektmanagement          	 LoB Insurance: 	 Agiles Projektmanagement 
One Adesso: 	 	 Projektmanagement          	 LoB Insurance: 	 Pragmatisches IT Projektmanagement
One Adesso: 	 	 Projektmanagement          	 LoB Insurance: 	 Projektmanagement-Office (PMO)
One Adesso: 	 	 Java                       	 LoB Insurance: 	 Java                     
One Adesso: 	 	 Microsoft                  	 LoB Insurance: 	 Microsoft.net            
One Adesso: 	 	 App-Entwicklung            	 LoB Insurance: 	 Das Beste für alle mobilen Welten - App-Entwicklung für unterschiedliche Plattformen
One Adesso: 	 	 Cloud                      	 LoB Insurance: 	 Cloud/ Cloudmanagement   
One Adesso: 	 	 Big Data                   	 LoB Insurance: 	 Informationsmanagement im Zeichen von Big Data
One Adesso: 	 	 Blockchain                 	 LoB Insurance: 	 Blockchain               
One Adesso: 	 	 in|sure                    	 LoB Insurance: 	 in|sure                  
One Adesso: 	 	 MIGSuite                   	 LoB Insurance: 	 MIGSuite                 
Quelle 	 Schlüsselwort 	 Portfolioelement 	 Ziel 	 Portfolioelement 
